id,article
1,"To reset your password, go to Settings > Security > Reset Password."
2,"If the system is slow, try clearing your browser cache and cookies."
3,"For billing inquiries, please contact finance@example.com."
4,"VPN connection issues can often be resolved by restarting the Cisco AnyConnect client."
5,"To request new software, submit a ticket to IT with the software name and business justification."
6,"Meeting room booking is done via the Outlook Calendar integration."
7,"Slack notifications can be managed in Preferences > Notifications."
8,"The coffee machine on the 3rd floor is serviced every Tuesday."
9,"To update your profile information, navigate to Settings > Account > Edit Profile."
10,"Two-factor authentication can be enabled under Security Settings in your user dashboard."
11,"If you forget your username, use the 'Find my account' option on the login page."
12,"Email distribution lists are managed by the IT team and require manager approval."
13,"To access the internal wiki, connect to the corporate VPN and visit the intranet homepage."
14,"Software license renewals are handled automatically at the end of each quarter."
15,"For hardware issues, report the problem using the ServiceNow portal."
16,"System maintenance is scheduled every Sunday from 1:00 AM to 3:00 AM IST."
17,"To change your registered mobile number, submit an identity verification request."
18,"Password complexity rules require at least one uppercase letter, one number, and one symbol."
19,"Shared folders are available on the network drive under the 'Common' directory."
20,"Printer access can be requested through the IT access request form."
21,"Company-wide announcements are posted on the internet notice board."
22,"To reset your VPN credentials, contact the IT security team."
23,"Laptop replacements are eligible after three years of continuous usage."
24,"Visitors must sign in at reception and wear a temporary access badge."
25,"Timesheets must be submitted by Friday 6:00 PM each week."
26,"Access to production systems is granted on a need-to-know basis only."
27,"For travel reimbursements, upload receipts to the expense management system."
28,"Emergency IT support is available 24/7 via the on-call support number."
29,"To update user profile details, go to Dashboard > Profile Settings > Edit."
30,"Two-factor authentication setup is available under Account Security settings."
31,"If you forget your registered email, contact IT support with identity proof."
32,"For lost ID cards, report immediately to the security desk for deactivation."
33,"Hello and welcome to the AI Smart Support Ticket Resolution System."
34,"Please describe your issue clearly so the support system can assist you."
35,"Type your support request in the ticket box to get relevant solutions."
36,"Ensure your ticket includes necessary details for faster resolution."
37,"After submitting your ticket, recommended solutions will be displayed automatically."
